#id sdkAdded compatAdded codepoints
1F535 19 1 1F535
1F536 19 1 1F536
1F537 19 1 1F537
1F538 19 1 1F538
1F539 19 1 1F539
1F53A 19 1 1F53A
1F53B 19 1 1F53B
1F53C 19 1 1F53C
1F53D 19 1 1F53D
1F549 23 1 1F549
1F54A 23 1 1F54A
1F54B 23 1 1F54B
1F54C 23 1 1F54C
1F54D 23 1 1F54D
1F54E 23 1 1F54E
1F550 19 1 1F550
1F551 19 1 1F551
1F552 19 1 1F552
1F553 19 1 1F553
1F554 19 1 1F554
1F555 19 1 1F555
1F556 19 1 1F556
1F557 19 1 1F557
1F558 19 1 1F558
1F559 19 1 1F559
1F55A 19 1 1F55A
1F55B 19 1 1F55B
1F55C 19 1 1F55C
1F55D 19 1 1F55D
1F55E 19 1 1F55E
1F55F 19 1 1F55F
1F560 19 1 1F560
1F561 19 1 1F561
1F562 19 1 1F562
1F563 19 1 1F563
1F564 19 1 1F564
1F565 19 1 1F565
1F566 19 1 1F566
1F567 19 1 1F567
1F56F 23 1 1F56F
1F570 23 1 1F570
1F573 23 1 1F573
1F574 23 1 1F574
1F575 23 1 1F575
1F576 23 1 1F576
1F577 23 1 1F577
1F578 23 1 1F578
1F579 23 1 1F579
1F57A 24 1 1F57A
1F587 23 1 1F587
1F58A 23 1 1F58A
1F58B 23 1 1F58B
1F58C 23 1 1F58C
1F58D 23 1 1F58D
1F590 23 1 1F590
1F595 23 1 1F595
1F596 23 1 1F596
1F5A4 24 1 1F5A4
1F5A5 23 1 1F5A5
1F5A8 23 1 1F5A8
1F5B1 23 1 1F5B1
1F5B2 23 1 1F5B2
1F5BC 23 1 1F5BC
1F5C2 23 1 1F5C2
1F5C3 23 1 1F5C3
1F5C4 23 1 1F5C4
1F5D1 23 1 1F5D1
1F5D2 23 1 1F5D2
1F5D3 23 1 1F5D3
1F5DC 23 1 1F5DC
1F5DD 23 1 1F5DD
1F5DE 23 1 1F5DE
1F5E1 23 1 1F5E1
1F5E3 23 1 1F5E3
1F5E8 23 1 1F5E8
1F5EF 23 1 1F5EF
1F5F3 23 1 1F5F3
1F5FA 23 1 1F5FA
1F5FB 19 1 1F5FB
1F5FC 19 1 1F5FC
1F5FD 19 1 1F5FD
1F5FE 19 1 1F5FE
1F5FF 19 1 1F5FF
1F600 19 1 1F600
1F601 19 1 1F601
1F602 19 1 1F602
1F603 19 1 1F603
1F604 19 1 1F604
1F605 19 1 1F605
1F606 19 1 1F606
1F607 19 1 1F607
1F608 19 1 1F608
1F609 19 1 1F609
1F60A 19 1 1F60A
1F60B 19 1 1F60B
1F60C 19 1 1F60C
1F60D 19 1 1F60D
1F60E 19 1 1F60E
1F60F 19 1 1F60F
1F610 19 1 1F610
1F611 19 1 1F611
1F612 19 1 1F612
1F613 19 1 1F613
1F614 19 1 1F614
1F615 19 1 1F615
1F616 19 1 1F616
1F617 19 1 1F617
1F618 19 1 1F618
1F619 19 1 1F619
1F61A 19 1 1F61A
1F61B 19 1 1F61B
1F61C 19 1 1F61C
1F61D 19 1 1F61D
1F61E 19 1 1F61E
1F61F 19 1 1F61F
1F620 19 1 1F620
1F621 19 1 1F621
1F622 19 1 1F622
1F623 19 1 1F623
1F624 19 1 1F624
1F625 19 1 1F625
1F626 19 1 1F626
1F627 19 1 1F627
1F628 19 1 1F628
1F629 19 1 1F629
1F62A 19 1 1F62A
1F62B 19 1 1F62B
1F62C 19 1 1F62C
1F62D 19 1 1F62D
1F62E 19 1 1F62E
1F62F 19 1 1F62F
1F630 19 1 1F630
1F631 19 1 1F631
1F632 19 1 1F632
1F633 19 1 1F633
1F634 19 1 1F634
1F635 19 1 1F635
1F636 19 1 1F636
1F637 19 1 1F637
1F638 19 1 1F638
1F639 19 1 1F639
1F63A 19 1 1F63A
